City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
321,yigo village,13.5361,144.8886,26.16,79,100,5.14,GU,1706118414
322,hithadhoo,-0.6,73.0833,28.66,70,60,6.42,MV,1706118414
323,chos malal,-37.3781,-70.2709,34.42,11,3,2.71,AR,1706118415
324,gadzhiyevo,69.2551,33.3362,-4.48,87,100,7.76,RU,1706118415
325,grand baie,-20.0182,57.5802,27.47,85,100,12.85,MU,1706118415
326,baran,25.1,76.5167,13.92,42,0,1.94,IN,1706118415
327,cadale,2.7603,46.3222,25.59,88,2,7.3,SO,1706118415
328,yuzhno-kurilsk,44.0306,145.8556,-2.01,85,97,12.45,RU,1706118415
329,sidi khaled,34.387,4.9879,16.87,39,2,3.08,DZ,1706118415
330,singkawang,0.9,109.0,24.59,94,100,2.09,ID,1706118416
331,nabire,-3.3667,135.4833,25.06,92,100,1.48,ID,1706118416
332,ishikawa,26.4233,127.8214,14.18,63,100,4.12,JP,1706118416
333,guaratinga,-16.5667,-39.5667,27.86,77,100,2.15,BR,1706118416
334,tianpeng,30.9866,103.9393,1.26,74,76,1.51,CN,1706118416
335,ko pha ngan,9.7578,100.0291,24.91,76,61,7.18,TH,1706118417
336,popondetta,-8.7537,148.2534,22.94,98,97,0.82,PG,1706118417
337,vallenar,-28.5708,-70.7581,25.43,49,0,5.91,CL,1706118417
338,bonthe,7.5264,-12.505,29.15,70,19,4.8,SL,1706118417
339,carauari,-4.8828,-66.8958,28.78,83,88,1.16,BR,1706118417
340,uturoa,-16.7333,-151.4333,27.68,75,96,5.86,PF,1706118418
341,sao joao del rei,-21.1356,-44.2617,22.95,78,99,2.03,BR,1706118233
342,ouadda,8.0777,22.4007,25.53,19,40,2.55,CF,1706118418
343,camacupa,-12.0167,17.4833,18.22,95,100,1.31,AO,1706118418
344,cockburn town,21.4612,-71.1419,24.68,76,98,10.36,TC,1706118157
345,armacao de buzios,-22.7469,-41.8817,25.03,91,97,2.76,BR,1706118418
346,boende,-0.2167,20.8667,30.96,33,62,0.74,CD,1706118418
347,mangai,-4.05,19.5333,25.42,76,81,1.21,CD,1706118419
348,creel,27.75,-107.6333,5.5,57,41,5.66,MX,1706118419
349,portland,45.5234,-122.6762,11.32,94,100,4.63,US,1706118296
350,pitimbu,-7.4706,-34.8086,31.33,54,61,7.1,BR,1706118419
351,mossel bay,-34.1831,22.146,19.96,84,1,8.64,ZA,1706118419
352,crane,31.3974,-102.3501,13.35,60,1,2.26,US,1706118419
353,manggar,-2.8833,108.2667,26.51,84,59,2.92,ID,1706118419
354,kalmunai,7.4167,81.8167,24.8,68,9,2.75,LK,1706118420
355,dunedin,-45.8742,170.5036,10.45,94,95,0.45,NZ,1706118379
356,charnay-les-macon,46.3075,4.7848,13.49,83,100,1.21,FR,1706118420
357,sablayan,12.8346,120.769,26.1,73,92,4.9,PH,1706118420
358,banda aceh,5.5577,95.3222,26.44,83,92,1.27,ID,1706118420
359,puerto aysen,-45.4,-72.7,19.72,68,86,2.96,CL,1706118382
360,pineville,31.3224,-92.4343,17.18,98,100,3.6,US,1706118420
361,houghton,47.1219,-88.569,1.73,89,100,2.57,US,1706118421
362,ogurugu,6.7856,6.9505,33.62,24,2,2.47,NG,1706118421
363,mola di bari,41.0609,17.0873,12.18,68,49,3.43,IT,1706118421
364,iconha,-20.7931,-40.8111,26.1,83,95,3.34,BR,1706118421
365,yatou,37.15,122.3833,-4.62,77,6,3.01,CN,1706118421
366,san antonio de pale,-1.4014,5.6325,28.16,75,7,2.87,GQ,1706118421
367,zaozersk,69.4005,32.4476,-8.91,92,91,4.37,RU,1706118421
368,revda,56.801,59.9303,-14.35,82,4,2.64,RU,1706118422
369,tazovsky,67.4667,78.7,-15.11,96,100,3.27,RU,1706118422
370,greymouth,-42.4667,171.2,7.43,88,12,2.65,NZ,1706118422
371,haiku-pauwela,20.9219,-156.3051,24.47,75,20,11.32,US,1706118422
372,ulsteinvik,62.3432,5.8487,8.2,89,100,5.81,NO,1706118423
373,gao,16.6362,1.637,23.56,19,90,6.33,ML,1706118423
374,undurkhaan,47.3194,110.6556,-21.7,89,9,1.81,MN,1706118423
375,el bauga,18.262,33.9081,23.65,23,65,8.77,SD,1706118423
376,smithers,54.7804,-127.1743,-2.82,100,100,0.0,CA,1706118423
377,tabou,4.423,-7.3528,28.37,75,6,5.12,CI,1706118423
378,luuq,3.7938,42.5445,32.44,20,2,4.41,SO,1706118423
379,la junta,37.985,-103.5438,-1.84,93,100,3.09,US,1706118424
380,mirador,-6.3708,-44.3631,30.36,66,88,3.11,BR,1706118424
381,nizhneangarsk,55.7833,109.55,-21.67,91,99,2.24,RU,1706118424
382,imbert,19.7537,-70.8291,27.72,78,75,4.92,DO,1706118424
383,bardai,11.65,7.2333,24.5,15,0,4.72,NG,1706118424
384,kimbe,-5.5502,150.1429,24.33,96,100,1.22,PG,1706118425
385,barra de santo antonio,-9.4047,-35.5072,34.6,69,100,8.09,BR,1706118425
386,itoman,26.1247,127.6694,14.21,62,100,9.26,JP,1706118425
387,luena,-11.7833,19.9167,21.1,88,40,2.57,AO,1706118426
388,louhans,46.6667,5.1667,13.33,87,100,0.89,FR,1706118426
389,ambodifotatra,-16.9833,49.85,26.14,83,97,5.28,MG,1706118426
390,nishinoomote,30.7333,131.0,10.19,68,64,14.88,JP,1706118426
391,santa ana,33.7456,-117.8678,15.39,85,75,2.57,US,1706118349
392,berezovyy,51.6667,135.7,-21.53,90,45,1.98,RU,1706118427
393,nova vicosa,-17.8919,-39.3719,25.48,97,93,0.86,BR,1706118292
394,sisimiut,66.9395,-53.6735,-14.09,93,100,4.1,GL,1706118427
395,candi prambanan,-7.75,110.4942,23.75,91,88,1.11,ID,1706118427
396,camarinas,43.1311,-9.1817,16.07,88,0,2.68,ES,1706118427
397,hadibu,12.65,54.0333,24.62,65,97,5.48,YE,1706118427
398,sakaraha,-22.9,44.5333,23.25,59,59,6.21,MG,1706118428
399,shimanovsk,52.0,127.7,-23.58,100,27,0.85,RU,1706118428
400,masuguru,-11.3667,38.4167,23.21,95,94,1.22,TZ,1706118428
401,aljezur,37.3191,-8.8033,17.01,74,0,3.04,PT,1706118428
402,canutama,-6.5339,-64.3831,30.34,75,57,1.55,BR,1706118428
403,tchintabaraden,15.8969,5.7985,23.11,19,15,5.65,NE,1706118428
404,cochin,9.9399,76.2602,25.99,82,6,2.0,IN,1706118405
405,santiago de cao,-7.9589,-79.2392,26.07,69,0,4.12,PE,1706118429
406,grand falls-windsor,48.9332,-55.6649,-10.83,59,20,1.79,CA,1706118284
407,machado,-21.6747,-45.9197,25.93,68,90,0.66,BR,1706118211
408,xinpu,34.5997,119.1594,-3.12,42,62,0.33,CN,1706118429
409,atherton,53.5237,-2.4935,8.83,73,88,3.58,GB,1706118429
410,mamuju,-2.6748,118.8885,26.08,79,99,3.49,ID,1706118430
411,san patricio,28.017,-97.5169,17.05,97,100,3.86,US,1706118430
412,gonabad,34.3529,58.6837,10.15,42,43,0.83,IR,1706118430
413,boa vista,2.8197,-60.6733,32.99,38,40,5.66,BR,1706118430
414,cidade velha,14.9167,-23.6167,27.26,54,1,8.23,CV,1706118430
415,jiayuguan,39.8167,98.3,-11.1,65,100,2.74,CN,1706118430
416,caluula,11.9661,50.7569,24.71,67,100,4.88,SO,1706118431
417,alofi,-19.0595,-169.9187,23.94,94,100,0.51,NU,1706118431
418,candon,17.1947,120.4517,21.93,70,68,2.4,PH,1706118431
419,karagandy,49.8019,73.1021,-5.03,96,99,2.13,KZ,1706118431
420,mersing,2.4312,103.8405,26.95,89,20,3.6,MY,1706118431
421,lenger,42.183,69.8839,0.69,68,100,3.68,KZ,1706118431
422,kavaratti,10.5669,72.642,27.34,64,25,4.46,IN,1706118432
423,mtimbira,-8.7833,36.35,21.49,98,100,0.99,TZ,1706118432
424,brookings,44.3114,-96.7984,0.21,100,100,6.17,US,1706118432
425,pudozh,61.8099,36.5345,-0.03,94,100,6.26,RU,1706118432
426,massawa,15.6097,39.45,26.55,72,60,2.04,ER,1706118432
427,kristiansund,63.1115,7.732,5.36,93,100,5.14,NO,1706118432
428,sikasso,10.9167,-7.0,32.55,6,9,1.92,ML,1706118433
429,kourou,5.1552,-52.6478,28.03,63,66,4.31,GF,1706118433
430,strathmore,51.0501,-113.3852,0.67,79,21,3.6,CA,1706118433
431,ziro,27.6333,93.8333,0.36,89,32,1.08,IN,1706118433
432,margate,51.3813,1.3862,10.49,68,100,2.68,GB,1706118433
433,manokwari,-0.8667,134.0833,24.99,90,100,4.05,ID,1706118433
434,clinton,42.587,-82.9199,4.04,94,100,1.53,US,1706118361
435,rockport,28.0206,-97.0544,15.61,93,100,5.66,US,1706118434
436,fukuecho,32.6881,128.8419,5.27,69,96,11.9,JP,1706118434
437,lata,40.1629,-8.3327,18.84,88,0,1.13,PT,1706118434
438,champua,22.0833,85.6667,13.93,97,9,1.47,IN,1706118434
439,tejen,37.3834,60.5054,8.82,53,95,3.78,TM,1706118434
440,tsiombe,-25.3,45.4833,22.66,65,31,4.37,MG,1706118435
441,tangalle,6.024,80.7911,24.22,75,36,5.66,LK,1706118435
442,wuwei,37.9281,102.6414,-12.06,77,32,0.91,CN,1706118435
443,tanabe,33.7333,135.3667,3.4,71,97,8.37,JP,1706118435
444,pasuquin,18.3328,120.6177,20.64,81,50,5.76,PH,1706118435
445,holualoa,19.6228,-155.9522,20.91,68,0,6.17,US,1706118435
446,happy valley-goose bay,53.3168,-60.3315,-19.83,50,100,12.35,CA,1706118436
